x,y
0.0,-1.6837274923728376
1.0,-1.6712828488936187
2.0,-1.6103945352855658
3.0,-1.5464587090977981
4.0,-1.57227328214928
5.0,-1.5381798212696194
6.0,-1.4422645655765751
7.0,-1.435847534480374
8.0,-1.4439244535226243
9.0,-1.375328362606351
10.0,-1.3755321609824842
11.0,-1.3415180846912436
12.0,-1.283297909283442
13.0,-1.3226834781934649
14.0,-1.2821687559457076
15.0,-1.2084384147920226
16.0,-1.1897058517568775
17.0,-1.1103689960925962
18.0,-1.1179468732380071
19.0,-1.1010463275227915
20.0,-0.9688356772895027
21.0,-0.9924083638335403
22.0,-0.9483158611816364
23.0,-0.9650989915151698
24.0,-0.9009918777037519
25.0,-0.8445577172522858
26.0,-0.8534871992479384
27.0,-0.7673449524366089
28.0,-0.7665382021705835
29.0,-0.7219124717159484
30.0,-0.6983888084401361
31.0,-0.5806324461909559
32.0,-0.6101492416366048
33.0,-0.6116566150839882
34.0,-0.5134603374077358
35.0,-0.5490324805156864
36.0,-0.46619671158902304
37.0,-0.5060354161575229
38.0,-0.45041339086120646
39.0,-0.3643272033822746
40.0,-0.3117694047724967
41.0,-0.2970105298659562
42.0,-0.2727028560463633
43.0,-0.24493266796627006
44.0,-0.2509813723523618
45.0,-0.19102294457667257
46.0,-0.14809297807052443
47.0,-0.062255201274109793
48.0,-0.052487719306438294
49.0,-0.09021691627641139
50.0,0.01503210134706469
51.0,0.024947467643370164
52.0,0.04909070607160635
53.0,0.12711566131579802
54.0,0.1755045080208543
55.0,0.20619768540878972
56.0,0.17992918545213973
57.0,0.23209149970063203
58.0,0.2880200792365149
59.0,0.3440784125515897
60.0,0.32857571019070714
61.0,0.37267539812632483
62.0,0.37537978350776785
63.0,0.4064086993756847
64.0,0.5089851172604791
65.0,0.5616148130956783
66.0,0.5470145230590555
67.0,0.6177758060547258
68.0,0.629984580570387
69.0,0.6297542564424935
70.0,0.6981621862710204
71.0,0.7723701913922257
72.0,0.7528055503065811
73.0,0.8414631065594781
74.0,0.7328980553445608
75.0,0.8843267082035763
76.0,0.893366255609844
77.0,0.9142974416245141
78.0,0.9617127619010943
79.0,0.9249152814328034
80.0,1.0192809211599285
81.0,1.0730380778675512
82.0,1.1453416709953568
83.0,1.1113795412471097
84.0,1.1355778852339342
85.0,1.1801283255796775
86.0,1.2625362939295033
87.0,1.2766285602528116
88.0,1.281452320058014
89.0,1.351105059329118
90.0,1.371008839912341
91.0,1.4348160036804185
92.0,1.4119499601870529
93.0,1.458806934894261
94.0,1.4907026847140739
95.0,1.488268219910694
96.0,1.5823521908536844
97.0,1.6152496242584322
98.0,1.6406167263912446
99.0,1.66653753902026
100.0,1.6603741013201352
